,index,count,co_ord
63,frame-5.jpg,4,"[array([1034,    8, 1917, 1064]), array([  45,   45,  975, 1063]), array([ 27, 406, 136, 522]), array([  0, 406, 131, 758])]"
64,frame-64.jpg,1,"[array([ 465,    6, 1917, 1069])]"
65,frame-8.jpg,2,"[array([ 261,  166,  710, 1066]), array([1215,  126, 1914, 1071])]"
66,frame-118.jpg,3,"[array([1292,   11, 1917, 1060]), array([ 446,   74, 1451, 1066]), array([   2,    0,  934, 1058])]"
67,frame-125.jpg,2,"[array([ 206,   19, 1514, 1066]), array([1149,    5, 1917, 1063])]"
68,frame-102.jpg,1,"[array([   2,   23,  999, 1067])]"
69,frame-43.jpg,6,"[array([1466,  153, 1917, 1065]), array([ 765,  348, 1346, 1068]), array([1400,    1, 1779,  647]), array([   9,  563,  848, 1069]), array([1047,   38, 1632,  884]), array([  0,  68, 786, 952])]"
70,frame-140.jpg,3,"[array([ 118,   72, 1028, 1068]), array([1089,  114, 1776, 1058]), array([  0, 662,  36, 986])]"
71,frame-103.jpg,6,"[array([ 624,   75, 1551, 1070]), array([   0,  338,  760, 1068]), array([1240,    3, 1575,  666]), array([1160,  152, 1917, 1065]), array([  2,  17, 203, 446]), array([  1,  14, 203, 973])]"
72,frame-56.jpg,1,"[array([ 645,   63, 1918, 1065])]"
73,frame-20.jpg,1,"[array([ 237,    0, 1653, 1065])]"
74,frame-22.jpg,1,"[array([ 942,   51, 1822, 1066])]"
75,frame-76.jpg,2,"[array([1029,   90, 1918, 1068]), array([   2,   47, 1064, 1067])]"
76,frame-119.jpg,1,"[array([   2,    4, 1308, 1072])]"
77,frame-49.jpg,1,"[array([   2,   20, 1394, 1066])]"
78,frame-98.jpg,6,"[array([ 166,   58, 1129, 1075]), array([1118,  118, 1920, 1068]), array([ 975,   94, 1485,  970]), array([ 666,   94, 1047,  627]), array([   2,  390,  337, 1070]), array([1749,    2, 1917,  159])]"
79,frame-142.jpg,4,"[array([  20,  147, 1048, 1068]), array([1192,  104, 1722, 1066]), array([ 897,  391, 1305, 1071]), array([1665,  591, 1917, 1068])]"
80,frame-29.jpg,2,"[array([ 987,  540, 1776, 1074]), array([ 208,   82,  968, 1066])]"
81,frame-112.jpg,3,"[array([1324,  185, 1918,  977]), array([ 648,   34, 1200, 1059]), array([ 159,  286,  788, 1067])]"
82,frame-82.jpg,1,"[array([ 719,   30, 1642, 1072])]"
83,frame-13.jpg,2,"[array([ 774,   48, 1468, 1068]), array([   2,  516,  207, 1065])]"
84,frame-61.jpg,2,"[array([   2,  264, 1066, 1071]), array([ 897,   70, 1887, 1071])]"
85,frame-95.jpg,1,"[array([ 578,  134, 1328,  812])]"
86,frame-11.jpg,7,"[array([1276,    2, 1917, 1059]), array([   0,    3, 1352, 1065]), array([  1, 305, 229, 692]), array([152, 284, 363, 656]), array([243, 227, 531, 756]), array([472, 215, 642, 712]), array([215, 174, 856, 862])]"
87,frame-131.jpg,5,"[array([ 182,   60, 1177, 1062]), array([   1,   55,  397, 1064]), array([1629,    8, 1917,  969]), array([ 882,    2, 1293,  666]), array([ 807,  229, 1912, 1070])]"
88,frame-12.jpg,6,"[array([ 858,  392, 1298, 1069]), array([601, 385, 812, 711]), array([1251,  376, 1377,  584]), array([   2,  477,  482, 1071]), array([ 748,  181, 1124,  801]), array([ 965,  180, 1123,  424])]"
89,frame-9.jpg,1,"[array([ 560,   56, 1918, 1066])]"
90,frame-42.jpg,2,"[array([   3,   18,  700, 1067]), array([1276,    2, 1917, 1066])]"
91,frame-143.jpg,2,"[array([ 836,   74, 1917, 1072]), array([   1,  299,  532, 1065])]"
92,frame-149.jpg,1,"[array([ 651,    4, 1780, 1066])]"
93,frame-110.jpg,2,"[array([ 460,    5, 1656, 1066]), array([1539,  160, 1917, 1014])]"
94,frame-72.jpg,1,"[array([ 765,   28, 1858, 1068])]"
95,frame-30.jpg,1,"[array([ 477,   31, 1538, 1066])]"
96,frame-40.jpg,2,"[array([ 904,  133, 1918, 1068]), array([ 147,   14, 1206, 1067])]"
97,frame-14.jpg,4,"[array([ 364,   42, 1043, 1066]), array([1008,  567, 1593, 1072]), array([1395,  517, 1563,  886]), array([206, 539, 458, 879])]"
98,frame-109.jpg,1,"[array([   0,    0, 1057, 1071])]"
